brand,name,price,nam_sx,origin,type_car,km_traveled,gear,condition,fuel
Porsche,Porsche Cayenne 2007,550 triệu,Năm SX 2007,Xuất xứ Nhập khẩu,Kiểu dáng Convertible,Km đã đi 50.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne 2022,5 tỉ 999 triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng Coupe,Km đã đi 99.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne 2018,3 tỉ 500 triệu,Năm SX 2018,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 9.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Panamera 4S 2009,799 triệu,Năm SX 2009,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 32.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Macan 2022,3 tỷ xxx triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 48.280 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Panamera 2015,2 tỉ 450 triệu,Năm SX 2015,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 9.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Macan 2015,1 tỷ 5xx triệu,Năm SX 2015,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 2.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Macan 2022,3 tỉ 390 triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng Convertible,Km đã đi 16.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Carrera 2022,7 tỷ xxx triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 74.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche 911 2021,6 tỉ 300 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 40.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
