brand,name,price,nam_sx,origin,type_car,km_traveled,gear,condition,fuel
Huyndai,Hyundai Accent 2021,485 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng Van/Minivan,Km đã đi 99.999 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Kona 2018,485 triệu,Năm SX 2018,Xuất xứ Nhập khẩu,Kiểu dáng Van/Minivan,Km đã đi 57.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Diesel
Huyndai,Hyundai Accent 2021,4xx triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng Hatchback,Km đã đi 80.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Diesel
Huyndai,Hyundai Kona 2019,470 triệu,Năm SX 2019,Xuất xứ Trong nước,Kiểu dáng Sedan,Km đã đi 113.060 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Creta 2022,6xx triệu,Năm SX 2022,Xuất xứ Trong nước,Kiểu dáng Sedan,Km đã đi 48.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Avante 2012,2xx triệu,Năm SX 2012,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 75.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Grand i10 2016,243 triệu,Năm SX 2016,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 120.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Sonata 2009,330 triệu,Năm SX 2009,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 100.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Tucson 2014,4xx triệu,Năm SX 2014,Xuất xứ Nhập khẩu,Kiểu dáng Van/Minivan,Km đã đi 40.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2022,4xx triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 59.998 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Diesel
Huyndai,Hyundai County 2011,490 triệu,Năm SX 2011,Xuất xứ Trong nước,Kiểu dáng SUV,Km đã đi 42.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Universe 2013,860 triệu,Năm SX 2013,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 18.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Grand i10 2018,259 triệu,Năm SX 2018,Xuất xứ Nhập khẩu,Kiểu dáng Hatchback,Km đã đi 70.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Sonata 2010,299 triệu,Năm SX 2010,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 46.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2011,255 triệu,Năm SX 2011,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 30.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2012,320 triệu,Năm SX 2012,Xuất xứ Trong nước,Kiểu dáng SUV,Km đã đi 41.999 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Diesel
Huyndai,Hyundai Grandeur 2004,128 triệu,Năm SX 2004,Xuất xứ Trong nước,Kiểu dáng SUV,Km đã đi 30.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Tucson 2018,650 triệu,Năm SX 2018,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 29.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Starex 2005,98 triệu,Năm SX 2005,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 100 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Tucson 2021,695 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 160.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Honda CR-V 2018,6xx triệu,Năm SX 2018,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 90.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Tucson 2019,6xx triệu,Năm SX 2019,Xuất xứ Trong nước,Kiểu dáng Hatchback,Km đã đi 94.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai i20 2012,245 triệu,Năm SX 2012,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 180.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2019,460 triệu,Năm SX 2019,Xuất xứ Nhập khẩu,Kiểu dáng Hatchback,Km đã đi 15.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Creta 2022,608 triệu,Năm SX 2022,Xuất xứ Trong nước,Kiểu dáng Sedan,Km đã đi 120.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
